Soil Moisture,Temperature, Soil Humidity,Time,Status
61,25,29,6,ON
81,25,55,65,ON
73,40,70,53,ON
2,40,29,31,ON
20,40,27,47,ON
63,0,57,9,OFF
78,10,21,105,OFF
39,18,24,81,OFF
89,41,48,9,OFF
41,11,39,2,ON
62,9,47,83,OFF
14,35,48,56,ON
23,27,45,64,ON
24,30,70,67,ON
35,43,49,109,OFF
63,16,22,109,OFF
44,40,46,41,ON
52,39,60,63,ON
84,11,65,35,OFF
1,41,27,61,ON
14,2,51,89,ON
6,20,54,42,ON
13,16,48,83,ON
50,19,56,48,OFF
25,24,22,76,ON
9,34,26,71,ON
79,6,51,80,OFF
13,22,32,86,ON
18,6,38,26,ON
38,22,57,47,OFF
51,3,23,51,OFF
49,28,20,1,ON
51,20,29,61,OFF
15,15,50,29,ON
54,32,48,44,ON
57,3,54,47,OFF
47,41,41,53,ON
37,19,39,49,ON
88,5,68,15,OFF
47,36,68,4,ON
55,8,53,73,OFF
7,41,38,75,ON
33,5,50,58,OFF
22,17,42,94,OFF
78,33,26,57,ON
17,33,50,94,OFF
4,37,43,20,ON
69,27,59,12,OFF
37,0,37,17,OFF
33,28,34,38,ON
56,27,63,78,OFF
27,5,47,87,OFF
7,38,42,13,ON
59,33,52,47,ON
47,37,62,78,ON
35,15,53,35,ON
20,20,36,91,OFF
72,22,27,30,OFF
60,9,43,97,OFF
2,21,32,67,ON
15,22,22,86,ON
64,43,45,73,ON
90,14,33,49,ON
43,25,24,95,OFF
21,42,44,56,ON
64,3,31,92,OFF
34,18,30,6,ON
8,44,20,40,ON
21,41,51,10,ON
36,0,42,35,OFF
1,42,62,63,ON
71,14,41,25,OFF
82,30,57,96,OFF
28,24,48,53,ON
15,44,31,70,ON
47,37,65,78,ON
44,11,34,97,OFF
28,21,37,33,ON
27,28,24,77,ON
57,13,61,13,ON
85,5,62,62,OFF
33,9,28,15,ON
72,29,25,1,OFF
17,24,58,70,ON
48,33,25,42,ON
55,21,57,41,OFF
51,35,23,65,ON
57,8,59,53,OFF
75,45,27,65,ON
53,6,27,75,OFF
71,30,37,110,OFF
89,37,46,101,OFF
17,14,57,49,ON
23,21,21,74,ON
39,32,51,59,ON
11,39,67,86,ON
61,0,40,35,OFF
9,5,43,54,ON
40,39,58,63,ON
88,37,60,90,ON
54,24,28,38,ON
48,20,49,54,ON
73,41,60,110,OFF
89,4,21,26,OFF
65,18,34,10,OFF
27,2,34,47,OFF
35,43,67,21,ON
29,15,62,85,OFF
1,12,54,47,ON
77,0,51,55,OFF
40,38,54,85,ON
40,0,61,14,OFF
28,0,42,6,OFF
64,12,29,92,OFF
12,27,40,4,ON
56,20,68,44,ON
22,7,66,33,ON
81,15,22,40,OFF
70,6,30,53,OFF
81,5,56,26,OFF
4,0,41,20,OFF
40,37,62,36,ON
79,14,42,47,ON
30,20,39,63,ON
82,37,25,7,OFF
45,20,62,13,ON
82,43,34,4,OFF
85,15,32,11,OFF
54,42,53,26,ON
73,4,51,98,OFF
14,8,52,47,ON
26,44,66,24,ON
88,2,45,76,OFF
88,11,40,80,ON
40,21,29,100,OFF
30,22,68,7,ON
66,34,20,34,OFF
90,5,63,64,OFF
76,33,25,52,ON
42,32,44,73,ON
75,2,45,105,OFF
7,19,43,100,OFF
8,5,45,2,OFF
43,29,56,98,OFF
88,26,39,13,OFF
62,24,44,24,OFF
9,45,57,71,ON
5,14,21,86,ON
28,24,22,110,OFF
43,31,25,82,ON
73,34,53,58,ON
17,40,66,49,ON
64,30,53,97,OFF
60,24,53,107,OFF
15,36,41,69,ON
11,32,44,46,ON
31,29,62,62,OFF
88,29,33,9,OFF
19,22,38,53,ON
36,2,54,104,OFF
87,2,27,89,OFF
3,41,23,27,ON
75,2,49,29,OFF
51,13,53,82,OFF
84,31,51,24,OFF
82,14,28,77,OFF
61,31,52,65,ON
28,44,67,109,OFF
41,16,45,84,ON
41,9,58,94,OFF
77,16,64,92,OFF
26,31,25,29,ON
5,29,36,109,OFF
74,8,65,8,OFF
39,40,44,9,ON
25,25,53,25,OFF
41,7,47,1,OFF
68,13,54,82,OFF
57,34,64,70,ON
7,32,45,97,OFF
68,31,62,69,ON
27,13,61,88,OFF
10,22,35,39,ON
65,26,26,4,ON
86,40,60,11,OFF
52,7,46,37,ON
47,16,59,98,OFF
31,42,58,86,ON
44,41,23,61,ON
61,17,30,15,OFF
44,19,70,84,ON
13,39,44,66,ON
88,3,21,54,OFF
19,31,52,47,ON
54,18,67,109,OFF
78,0,37,57,OFF
36,34,27,69,ON
57,40,33,23,ON
5,25,51,25,OFF
37,34,39,94,OFF
53,29,36,33,ON
74,10,52,99,OFF
80,18,22,56,OFF
72,10,50,58,OFF
48,43,36,50,ON
59,34,22,59,ON
10,15,20,5,ON
28,39,56,24,ON
39,27,43,73,ON
13,33,60,91,OFF
25,5,29,93,OFF
69,24,26,36,OFF
37,20,57,61,OFF
21,40,69,7,ON
4,21,28,63,ON
68,24,42,79,ON
12,6,60,99,OFF
90,17,49,24,OFF
90,21,55,102,OFF
38,1,61,41,OFF
13,2,68,85,ON
81,18,49,16,OFF
89,36,40,6,OFF
73,28,68,46,ON
15,9,35,29,OFF
40,5,36,47,ON
53,5,37,34,ON
42,1,39,38,OFF
26,1,54,2,OFF
32,27,70,50,ON
19,22,66,37,ON
6,26,45,34,ON
10,34,33,58,ON
31,44,60,37,ON
49,40,53,46,ON
63,18,47,85,ON
9,29,34,97,OFF
59,30,66,42,ON
54,43,57,83,ON
29,30,31,74,OFF
11,33,26,21,ON
84,34,55,22,OFF
12,22,64,72,ON
27,1,52,92,OFF
21,22,70,28,ON
83,26,64,22,OFF
15,36,39,33,ON
9,36,34,100,OFF
76,34,64,98,OFF
74,29,49,21,OFF
19,22,39,97,OFF
26,44,24,25,ON
35,4,57,57,OFF
32,35,40,110,OFF
20,33,35,26,ON
52,10,47,29,ON
25,40,44,99,OFF
9,33,37,88,ON
84,23,69,108,OFF
88,24,51,110,OFF
63,45,49,46,ON
55,11,48,76,OFF
59,35,37,85,ON
62,28,39,9,ON
20,28,36,9,ON
19,11,42,47,ON
56,25,55,76,ON
28,4,48,50,OFF
90,7,57,86,OFF
77,11,69,48,ON
12,17,32,97,OFF
12,36,68,5,ON
53,27,41,103,OFF
80,10,43,33,OFF
25,17,60,35,OFF
17,32,56,80,ON
27,17,61,92,OFF
55,3,22,83,OFF
60,31,28,56,ON
5,12,56,50,ON
69,11,67,31,OFF
65,28,36,19,OFF
70,6,20,110,OFF
86,45,37,93,OFF
2,30,66,85,ON
86,12,27,24,OFF
33,32,22,78,ON
40,43,68,20,ON
46,30,65,46,ON
3,13,36,71,ON
35,31,34,48,ON
31,12,65,81,ON
73,18,23,93,OFF
69,24,36,46,ON
7,39,66,44,ON
65,21,69,23,OFF
83,7,65,36,OFF
21,41,47,97,OFF
45,5,29,39,ON
77,40,31,66,ON
46,13,29,42,OFF
4,28,27,12,ON
41,44,22,3,ON
85,41,24,106,OFF
79,22,55,10,OFF
13,13,20,74,ON
62,35,25,47,ON
23,41,36,81,ON
87,33,29,13,OFF
21,4,48,39,ON
70,6,64,66,ON
53,7,30,25,ON
2,5,58,63,ON
10,29,24,22,ON
78,29,51,88,ON
88,25,41,100,OFF
62,25,42,42,ON
87,15,22,36,OFF
37,22,60,104,OFF
52,34,21,30,ON
47,45,49,81,ON
23,12,61,51,OFF
70,5,58,103,OFF
28,9,70,66,ON
74,40,64,40,ON
40,45,23,47,ON
42,23,35,23,ON
3,38,62,12,ON
9,17,50,4,ON
33,42,70,22,ON
13,8,39,47,ON
58,35,56,101,OFF
66,31,41,32,OFF
62,43,58,50,ON
65,5,46,93,OFF
73,4,45,47,OFF
80,19,62,73,OFF
7,0,57,55,ON
2,34,55,60,ON
36,1,46,108,OFF
44,4,32,20,ON
37,10,64,97,OFF
31,41,39,4,ON
35,31,66,97,OFF
64,22,28,30,OFF
64,16,20,87,OFF
23,42,69,29,ON
46,16,29,44,OFF
15,7,69,37,ON
11,15,43,8,ON
80,37,39,78,ON
5,44,42,64,ON
54,30,44,40,ON
28,36,60,14,ON
48,26,46,45,ON
81,14,42,0,OFF
47,39,26,99,OFF
46,24,58,102,OFF
12,27,55,63,ON
45,9,50,104,OFF
54,37,44,42,ON
28,30,43,85,ON
11,28,43,85,ON
34,4,52,10,ON
68,22,61,7,ON
16,20,62,43,ON
49,17,35,9,ON
19,4,35,90,ON
67,34,59,21,OFF
85,32,64,75,ON
54,35,40,27,OFF
36,43,61,68,ON
90,35,44,31,OFF
29,9,48,101,OFF
10,17,42,0,ON
13,1,70,103,OFF
31,26,55,65,ON
29,40,58,4,ON
11,13,46,16,ON
66,17,54,33,OFF
63,38,58,61,ON
67,44,49,85,ON
11,30,34,11,ON
52,38,42,45,ON
22,39,25,65,ON
70,19,64,10,OFF
78,7,41,51,OFF
20,26,69,69,ON
77,1,39,91,OFF
12,21,25,105,OFF
49,15,21,71,OFF
65,21,36,57,ON
5,13,25,50,ON
3,23,49,42,ON
79,29,40,89,ON
30,26,57,76,ON
35,16,56,26,OFF
27,7,55,106,OFF
75,31,55,40,ON
62,19,34,106,OFF
24,11,37,17,ON
72,44,23,73,ON
48,13,56,29,ON
59,4,51,2,OFF
46,6,41,83,OFF
76,11,68,10,OFF
54,14,66,51,ON
76,23,43,0,OFF
22,21,47,86,ON
29,29,46,74,ON
73,17,36,42,ON
40,18,68,70,ON
17,5,50,78,ON
24,3,56,100,OFF
78,16,46,73,ON
49,39,64,50,ON
42,3,21,48,OFF
85,25,47,14,OFF
69,27,53,75,ON
56,17,68,59,ON
28,30,30,50,OFF
78,12,59,20,OFF
28,32,45,76,ON
74,41,42,5,OFF
73,0,67,32,OFF
12,1,29,68,ON
29,25,42,36,OFF
10,26,31,20,ON
54,26,70,72,ON
75,29,54,17,OFF
43,9,70,91,OFF
3,26,59,104,OFF
63,45,42,41,ON
4,5,48,4,OFF
26,12,46,41,OFF
42,20,38,93,OFF
76,37,61,65,ON
67,39,41,4,ON
80,3,27,79,OFF
3,34,70,96,OFF
24,18,68,85,ON
48,43,37,12,ON
31,28,23,32,ON
61,15,24,86,OFF
2,33,27,100,OFF
31,16,69,3,ON
32,30,59,47,ON
65,7,63,74,OFF
42,8,65,46,ON
54,12,30,61,OFF
79,7,20,65,OFF
79,1,49,58,OFF
41,31,60,70,ON
28,4,44,100,OFF
39,25,25,87,ON
29,16,23,53,OFF
77,17,62,48,OFF
44,27,69,88,ON
56,33,40,24,OFF
79,21,25,96,OFF
27,22,53,96,OFF
69,10,65,55,ON
80,15,23,57,OFF
6,38,63,58,ON
52,17,57,64,OFF
39,23,22,40,ON
70,41,40,51,ON
73,22,21,44,ON
33,32,28,106,OFF
10,9,32,80,ON
53,44,62,2,ON
78,6,22,90,OFF
37,2,25,92,OFF
89,32,56,51,ON
54,36,33,75,ON
2,23,32,86,ON
19,43,62,42,ON
18,6,64,108,OFF
89,36,59,54,ON
58,26,31,33,ON
12,32,55,78,ON
52,42,68,100,OFF
34,39,48,61,ON
12,9,20,56,ON
67,2,64,89,ON
64,0,33,12,OFF
86,22,45,52,ON
61,41,49,83,ON
69,35,37,84,ON
77,28,66,49,ON
42,35,34,3,ON
36,45,40,92,OFF
80,17,44,75,ON
24,35,35,102,OFF
21,7,33,90,ON
60,34,33,17,OFF
45,7,31,39,ON
17,35,35,49,ON
73,1,51,29,OFF
39,44,37,98,OFF
10,6,31,64,ON
4,38,56,99,OFF
29,41,67,64,ON
19,34,63,99,OFF
75,13,36,81,ON
70,35,33,95,OFF
1,14,41,106,OFF
21,21,35,14,ON
54,8,70,58,ON
52,8,50,26,ON
50,9,70,97,OFF
17,24,64,5,ON
7,19,39,38,ON
18,6,65,1,OFF
65,19,64,10,OFF
49,21,68,14,ON
82,38,49,13,OFF
29,27,24,73,ON
12,43,70,78,ON
21,5,24,61,OFF
3,36,62,57,ON
22,8,41,71,OFF
35,27,27,66,ON
4,20,69,78,ON
25,9,37,45,ON
9,39,40,59,ON
14,22,31,38,ON
45,13,61,42,OFF
85,38,54,81,ON
32,16,56,83,OFF
64,17,25,79,OFF
27,19,41,78,ON
54,28,48,21,ON
44,19,31,88,OFF
52,28,68,104,OFF
39,4,38,88,OFF
73,23,32,21,OFF
3,34,43,79,ON
84,33,64,92,OFF
28,32,23,99,OFF
55,18,57,18,ON
90,2,68,74,OFF
31,13,24,68,OFF
33,22,39,30,ON
24,20,47,100,OFF
57,4,24,24,ON
79,23,67,88,ON
2,39,45,8,ON
73,40,70,56,ON
62,30,59,21,OFF
88,26,23,101,OFF
62,13,51,105,OFF
61,3,52,70,OFF
42,41,49,42,ON
36,15,33,39,ON
30,16,55,12,OFF
47,21,29,73,OFF
66,6,38,22,OFF
71,34,22,28,OFF
38,32,69,62,ON
19,34,64,83,ON
77,40,38,71,ON
24,31,55,49,ON
10,21,41,28,ON
77,3,35,94,OFF
50,5,69,31,ON
43,13,26,38,ON
36,18,49,90,ON
54,33,21,70,ON
26,9,65,53,ON
51,33,37,98,OFF
61,1,70,69,OFF
88,42,65,8,OFF
50,36,66,84,ON
54,31,63,54,ON
73,41,25,108,OFF
2,23,23,67,ON
66,15,64,24,OFF
3,40,39,92,OFF
10,18,47,20,ON
3,11,58,19,ON
65,39,51,54,ON
80,43,25,28,OFF
75,7,62,33,OFF
15,30,68,27,ON
72,38,28,68,ON
32,3,52,38,ON
50,22,54,44,OFF
35,40,51,89,ON
10,8,48,4,OFF
58,29,39,2,ON
16,17,53,11,OFF
15,18,35,12,ON
26,39,59,61,ON
58,18,25,43,OFF
62,6,67,94,OFF
41,12,34,37,ON
70,35,48,105,OFF
30,2,29,109,OFF
84,42,68,42,ON
7,27,57,52,ON
84,6,54,97,OFF
11,13,35,98,OFF
36,3,53,48,OFF
89,18,37,53,ON
18,14,44,32,ON
44,37,26,88,ON
75,27,38,96,OFF
29,29,28,16,ON
5,11,57,89,ON
85,39,61,25,OFF
8,44,70,17,ON
70,5,23,49,OFF
83,12,45,54,OFF
21,44,22,74,ON
43,33,20,12,ON
13,43,52,38,ON
9,33,28,104,OFF
7,11,33,91,OFF
34,4,39,104,OFF
45,12,25,68,OFF
3,10,59,18,ON
18,36,23,99,OFF
80,2,66,52,OFF
74,38,49,106,OFF
60,22,55,100,OFF
64,40,69,17,OFF
53,33,33,37,ON
48,6,43,84,OFF
55,35,41,98,OFF
76,13,36,61,ON
36,17,27,65,OFF
87,3,63,42,OFF
39,30,26,26,ON
45,45,37,10,ON
21,11,58,71,OFF
1,6,58,108,OFF
22,17,36,44,ON
44,25,69,109,OFF
65,37,57,97,OFF
50,29,28,83,ON
86,0,29,60,OFF
26,40,67,104,OFF
1,24,21,107,OFF
3,26,20,35,ON
41,19,31,88,OFF
19,21,43,107,OFF
36,31,66,92,OFF
13,2,39,52,ON
56,45,65,82,ON
40,41,47,104,OFF
15,10,45,39,ON
85,2,70,81,OFF
64,8,48,105,OFF
11,7,63,50,ON
66,22,64,67,ON
9,32,38,51,ON
90,35,61,94,OFF
25,19,27,21,ON
46,2,56,40,OFF
32,36,65,14,ON
54,9,50,15,ON
69,37,24,70,ON
19,10,42,86,ON
82,7,61,33,OFF
39,41,28,97,OFF
55,4,56,78,OFF
41,7,24,0,OFF
9,5,47,81,ON
37,16,27,6,ON
70,2,62,54,OFF
66,7,50,57,OFF
54,35,60,100,OFF
77,11,53,49,OFF
76,35,68,65,ON
58,43,68,21,ON
26,43,62,89,ON
87,42,29,22,OFF
15,10,38,72,ON
81,1,26,44,OFF
72,22,22,54,OFF
80,38,45,46,ON
73,5,41,104,OFF
40,32,43,54,ON
24,31,59,84,ON
43,13,66,55,ON
5,21,60,49,ON
49,41,34,64,ON
1,22,50,6,ON
74,0,64,92,OFF
35,11,67,79,ON
6,45,66,62,ON
50,4,28,97,OFF
80,43,67,49,ON
78,38,48,66,ON
39,37,51,25,ON
42,13,61,39,ON
63,19,44,2,ON
19,27,44,102,OFF
14,24,68,36,ON
84,5,37,37,OFF
52,37,37,48,ON
81,26,42,102,OFF
49,38,53,102,OFF
11,33,61,32,ON
11,7,35,30,ON
19,21,47,11,ON
76,20,32,110,OFF
55,12,41,55,ON
11,25,26,110,OFF
51,6,36,41,ON
75,35,40,96,OFF
9,20,23,43,ON
35,30,42,8,ON
68,26,23,110,OFF
81,32,29,68,ON
78,13,23,15,OFF
47,15,50,68,OFF
70,14,49,92,OFF
89,0,51,40,OFF
67,30,31,36,OFF
80,18,62,80,OFF
3,6,48,88,ON
20,40,45,86,ON
7,17,57,99,OFF
11,44,25,70,ON
41,27,35,55,ON
35,2,65,91,OFF
68,3,25,48,OFF
48,13,61,91,OFF
62,1,26,77,OFF
46,6,26,65,OFF
84,23,30,8,OFF
85,39,43,38,OFF
30,22,29,39,ON
80,13,64,76,ON
14,5,48,64,ON
12,19,31,12,ON
85,42,28,72,ON
4,25,59,53,ON
37,24,67,22,ON
45,13,68,105,OFF
24,8,60,101,OFF
73,34,30,34,OFF
80,8,48,37,OFF
63,42,35,46,ON
3,20,46,108,OFF
27,4,58,50,OFF
32,22,33,44,ON
46,40,28,91,OFF
40,29,61,77,ON
11,16,28,42,ON
51,4,66,19,ON
38,29,30,108,OFF
55,24,52,102,OFF
87,8,48,43,OFF
16,39,61,43,ON
76,42,36,27,OFF
69,14,62,106,OFF
30,43,66,85,ON
38,44,25,7,ON
4,23,47,14,ON
27,10,22,30,ON
73,42,42,0,OFF
4,20,22,75,ON
34,3,40,54,OFF
7,26,52,50,ON
19,1,43,7,OFF
7,45,25,34,ON
83,22,70,7,OFF
14,23,40,66,ON
8,23,37,62,ON
78,19,52,108,OFF
70,6,64,72,ON
42,37,49,72,ON
46,14,20,32,ON
65,16,67,90,ON
54,30,25,21,ON
38,24,53,60,ON
14,41,38,47,ON
88,24,60,43,OFF
36,28,66,57,ON
76,26,54,41,ON
69,36,56,11,OFF
9,39,38,103,OFF
83,37,42,1,OFF
45,24,59,59,OFF
69,0,21,40,OFF
42,25,47,91,OFF
24,21,62,7,ON
38,45,51,29,ON
2,43,52,30,ON
10,39,53,40,ON
46,29,38,29,ON
4,10,42,45,ON
74,23,28,78,OFF
77,1,43,54,OFF
41,19,57,101,OFF
34,38,51,65,ON
16,15,62,16,ON
86,5,59,101,OFF
23,45,50,106,OFF
7,28,30,60,ON
52,44,25,44,ON
69,27,51,98,OFF
38,19,30,23,ON
33,44,40,14,ON
33,42,26,60,ON
39,19,52,46,OFF
36,17,43,88,ON
63,36,48,105,OFF
63,6,53,110,OFF
67,8,24,82,OFF
68,31,50,30,OFF
61,31,62,71,ON
41,44,42,107,OFF
44,36,38,25,ON
83,6,32,65,ON
19,33,49,30,ON
65,9,23,85,OFF
35,12,36,45,ON
62,15,38,103,OFF
7,7,39,99,OFF
1,10,67,80,ON
49,4,50,27,ON
53,18,44,71,ON
69,9,58,14,OFF
22,32,53,64,ON
40,25,70,30,ON
20,10,26,94,OFF
25,41,54,72,ON
9,42,35,2,ON
30,28,32,63,ON
8,40,51,20,ON
54,28,30,94,OFF
72,16,37,0,OFF
50,39,27,56,ON
23,18,54,77,OFF
61,20,67,33,OFF
53,43,64,17,ON
85,43,38,61,ON
9,10,65,5,OFF
75,24,51,70,ON
17,43,61,85,ON
7,11,63,65,ON
42,43,50,0,ON
75,41,57,64,ON
67,3,40,18,OFF
32,13,44,26,ON
7,42,33,101,OFF
73,20,41,60,ON
36,45,57,68,ON
3,5,51,29,ON
43,17,22,15,ON
24,45,67,63,ON
40,40,57,34,ON
61,24,21,45,ON
74,3,46,55,OFF
62,17,59,67,OFF
40,8,57,86,OFF
71,2,58,8,OFF
4,37,68,59,ON
23,14,48,74,OFF
77,9,50,16,OFF
83,0,67,96,OFF
89,38,39,102,OFF
67,11,50,14,OFF
18,4,46,95,OFF
38,20,67,58,ON
6,39,23,109,OFF
16,5,55,98,OFF
16,8,61,59,ON
80,31,69,34,OFF
22,4,59,24,ON
88,10,69,99,OFF
11,31,68,28,ON
52,12,63,8,ON
73,38,49,57,ON
26,11,53,35,ON
70,41,46,67,ON
14,32,45,45,ON
2,25,52,73,ON
52,17,62,47,OFF
62,37,64,67,ON
84,38,29,70,ON
30,2,35,38,ON
52,33,67,110,OFF
34,13,64,19,ON
18,15,40,49,ON
55,27,21,13,ON
19,3,48,63,ON
50,4,68,41,OFF
15,22,23,80,ON
65,27,56,65,ON
63,35,70,60,ON
43,43,39,62,ON
65,20,30,34,OFF
24,32,59,87,ON
84,24,44,32,OFF
22,38,35,86,ON
47,1,68,79,OFF
5,6,58,8,OFF
59,42,61,29,ON
1,34,54,80,ON
49,19,44,78,ON
12,29,30,57,ON
58,40,55,53,ON
78,10,64,16,OFF
68,3,58,66,OFF
10,8,43,11,OFF
81,39,22,76,ON
83,14,66,57,ON
60,25,22,9,ON
67,27,65,69,ON
37,12,35,90,ON
15,20,46,45,ON
6,19,37,107,OFF
84,27,54,75,ON
68,27,64,38,OFF
58,22,40,21,ON
14,38,33,71,ON
51,19,22,69,OFF
45,23,24,25,ON
23,10,37,10,ON
57,27,38,47,ON
56,15,60,76,OFF
12,3,26,89,ON
12,32,27,40,ON
42,7,70,108,OFF
25,17,50,27,OFF
57,13,67,94,OFF
22,38,31,3,ON
81,11,32,71,ON
14,44,51,91,OFF
60,6,58,103,OFF
55,9,54,54,OFF
66,10,33,10,OFF
24,36,61,71,ON
82,30,25,11,OFF
49,7,60,37,ON
37,12,26,57,OFF
81,44,62,84,ON
78,9,44,100,OFF
47,42,63,62,ON
76,7,66,44,ON
16,8,61,92,OFF
88,38,46,6,OFF
82,40,68,22,OFF
53,18,63,108,OFF
85,16,60,67,OFF
54,1,55,34,OFF
83,12,48,13,OFF
86,3,42,67,OFF
15,2,41,79,ON
67,18,57,109,OFF
71,36,33,70,ON
76,20,31,68,OFF
49,29,66,56,ON
73,22,34,21,OFF
38,44,38,38,ON
6,7,44,99,OFF
15,44,63,75,ON
58,38,33,5,ON
80,37,52,20,OFF
7,2,60,10,ON
15,21,31,84,ON
79,21,32,28,OFF
68,42,68,39,OFF
58,12,58,47,OFF
11,25,67,46,ON
87,11,46,15,OFF
3,20,34,47,ON
33,11,52,14,ON
62,27,68,109,OFF
46,41,20,108,OFF
71,43,29,92,OFF
30,1,53,68,OFF
89,44,67,106,OFF
89,37,33,18,OFF
49,13,32,83,ON
79,14,24,65,OFF
1,17,53,63,ON
76,20,41,7,OFF
6,15,39,51,ON
35,42,55,47,ON
88,22,54,14,OFF
66,14,49,25,OFF
75,19,68,63,ON
30,11,24,36,ON
87,38,52,104,OFF
86,34,29,32,OFF
6,37,58,85,ON
82,5,24,106,OFF
57,42,32,1,ON
58,17,27,23,ON
85,37,28,96,OFF
83,40,20,54,ON
25,40,69,76,ON
61,38,49,74,ON
76,34,58,66,ON
45,25,29,69,OFF
59,8,43,81,OFF
52,34,53,58,ON
54,20,39,57,ON
11,1,25,6,OFF
90,17,32,28,OFF
2,19,68,92,OFF
8,9,59,26,OFF
22,0,59,72,OFF
48,1,39,55,OFF
17,2,42,97,OFF
47,44,42,26,ON
59,32,59,104,OFF
4,20,67,55,ON
9,0,27,11,OFF
43,27,36,55,ON
37,22,39,22,ON
46,32,38,17,ON
71,11,30,68,OFF
26,44,70,88,ON
20,14,46,51,ON
17,8,57,106,OFF
16,16,25,20,ON
80,33,21,46,ON
52,27,31,109,OFF
16,30,64,77,ON
83,33,38,6,OFF
2,44,60,37,ON
34,7,57,102,OFF
49,10,64,29,ON
72,9,59,49,OFF
17,16,61,101,OFF
3,5,46,22,ON
65,42,61,8,ON
40,22,20,82,ON
67,11,46,33,OFF
11,4,46,78,ON
81,29,58,33,OFF
76,34,34,104,OFF
74,38,59,44,ON
19,28,41,10,ON
50,17,31,9,ON
70,9,28,37,OFF
59,23,35,61,ON
79,8,43,78,OFF
28,38,51,18,ON
66,40,52,72,ON
22,42,55,40,ON
49,18,44,34,ON
37,1,41,22,OFF
16,33,68,28,ON
10,26,32,107,OFF
18,36,22,57,ON
37,18,52,101,OFF
35,34,43,37,ON
79,12,70,98,OFF
34,2,21,61,OFF
74,45,36,87,ON
38,44,61,22,ON
29,45,58,19,ON
85,21,25,78,OFF
46,23,52,54,ON
73,39,33,93,OFF
69,15,44,47,ON
82,22,30,77,OFF
42,18,69,72,ON
90,36,31,90,ON
16,19,25,101,OFF
67,6,30,109,OFF
19,39,47,41,ON
16,9,40,39,OFF
38,15,49,86,OFF
80,1,70,103,OFF
71,25,30,106,OFF
84,44,42,49,ON
90,2,68,84,OFF
84,2,59,106,OFF
55,19,52,28,ON
30,45,44,36,ON
9,19,63,61,ON
16,45,60,35,ON
1,9,65,59,ON
8,44,35,8,ON
82,3,44,10,OFF
13,33,46,31,ON
18,41,31,75,ON
39,0,51,18,OFF
16,24,63,106,OFF
13,0,40,93,OFF
47,18,47,19,ON
60,26,29,47,OFF
17,26,43,71,ON
3,38,69,11,ON
5,41,56,72,ON
34,3,35,85,ON
29,11,51,41,OFF
33,19,26,47,OFF
62,9,58,18,OFF
21,37,54,90,ON
61,34,51,53,ON
82,6,36,33,OFF
83,6,22,1,OFF
7,30,43,87,ON
42,7,26,26,ON
69,30,51,55,ON
32,23,41,77,ON
61,30,63,51,OFF
58,11,40,26,ON
4,3,58,83,ON
31,16,27,35,ON
75,26,36,8,OFF
54,18,42,108,OFF
69,37,23,75,ON
15,12,46,57,ON
29,16,62,52,OFF
28,1,26,7,OFF
