Soil Moisture,Temperature, Soil Humidity,Time
48,43,37,12
31,28,23,32
61,15,24,86
2,33,27,100
31,16,69,3
32,30,59,47
65,7,63,74
42,8,65,46
54,12,30,61
79,7,20,65
79,1,49,58
41,31,60,70
28,4,44,100
39,25,25,87
29,16,23,53
77,17,62,48
44,27,69,88
56,33,40,24
79,21,25,96
27,22,53,96
69,10,65,55
80,15,23,57
6,38,63,58
52,17,57,64
39,23,22,40
70,41,40,51
73,22,21,44
33,32,28,106
10,9,32,80
53,44,62,2
78,6,22,90
37,2,25,92
89,32,56,51
54,36,33,75
2,23,32,86
19,43,62,42
18,6,64,108
89,36,59,54
58,26,31,33
12,32,55,78
52,42,68,100
34,39,48,61
12,9,20,56
67,2,64,89
64,0,33,12
86,22,45,52
61,41,49,83
69,35,37,84
77,28,66,49
42,35,34,3
36,45,40,92
80,17,44,75
24,35,35,102
21,7,33,90
60,34,33,17
45,7,31,39
17,35,35,49
73,1,51,29
39,44,37,98
10,6,31,64
4,38,56,99
29,41,67,64
19,34,63,99
75,13,36,81
70,35,33,95
1,14,41,106
21,21,35,14
54,8,70,58
52,8,50,26
50,9,70,97
17,24,64,5
7,19,39,38
18,6,65,1
65,19,64,10
49,21,68,14
82,38,49,13
29,27,24,73
12,43,70,78
21,5,24,61
3,36,62,57
22,8,41,71
35,27,27,66
4,20,69,78
25,9,37,45
9,39,40,59
14,22,31,38
45,13,61,42
85,38,54,81
32,16,56,83
64,17,25,79
27,19,41,78
54,28,48,21
44,19,31,88
52,28,68,104
39,4,38,88
73,23,32,21
3,34,43,79
84,33,64,92
28,32,23,99
55,18,57,18
90,2,68,74
31,13,24,68
33,22,39,30
24,20,47,100
57,4,24,24
79,23,67,88
2,39,45,8
73,40,70,56
62,30,59,21
88,26,23,101
62,13,51,105
61,3,52,70
42,41,49,42
36,15,33,39
30,16,55,12
47,21,29,73
66,6,38,22
71,34,22,28
38,32,69,62
19,34,64,83
77,40,38,71
24,31,55,49
10,21,41,28
77,3,35,94
50,5,69,31
43,13,26,38
36,18,49,90
54,33,21,70
26,9,65,53
51,33,37,98
61,1,70,69
88,42,65,8
50,36,66,84
54,31,63,54
73,41,25,108
2,23,23,67
66,15,64,24
3,40,39,92
10,18,47,20
3,11,58,19
65,39,51,54
80,43,25,28
75,7,62,33
15,30,68,27
72,38,28,68
32,3,52,38
50,22,54,44
35,40,51,89
10,8,48,4
58,29,39,2
16,17,53,11
15,18,35,12
26,39,59,61
58,18,25,43
62,6,67,94
41,12,34,37
70,35,48,105
30,2,29,109
84,42,68,42
7,27,57,52
84,6,54,97
11,13,35,98
36,3,53,48
89,18,37,53
18,14,44,32
44,37,26,88
75,27,38,96
29,29,28,16
5,11,57,89
85,39,61,25
8,44,70,17
70,5,23,49
83,12,45,54
21,44,22,74
43,33,20,12
13,43,52,38
9,33,28,104
7,11,33,91
34,4,39,104
45,12,25,68
3,10,59,18
18,36,23,99
80,2,66,52
74,38,49,106
60,22,55,100
64,40,69,17
53,33,33,37
48,6,43,84
55,35,41,98
76,13,36,61
36,17,27,65
87,3,63,42
39,30,26,26
45,45,37,10
21,11,58,71
1,6,58,108
22,17,36,44
44,25,69,109
65,37,57,97
50,29,28,83
86,0,29,60
26,40,67,104
1,24,21,107
3,26,20,35
41,19,31,88
19,21,43,107
36,31,66,92
13,2,39,52
56,45,65,82
40,41,47,104
15,10,45,39
85,2,70,81
64,8,48,105
11,7,63,50
66,22,64,67
9,32,38,51
90,35,61,94
25,19,27,21
46,2,56,40
32,36,65,14
54,9,50,15
69,37,24,70
19,10,42,86
82,7,61,33
39,41,28,97
55,4,56,78
41,7,24,0
9,5,47,81
37,16,27,6
70,2,62,54
66,7,50,57
54,35,60,100
77,11,53,49
76,35,68,65
58,43,68,21
26,43,62,89
87,42,29,22
15,10,38,72
81,1,26,44
72,22,22,54
80,38,45,46
73,5,41,104
40,32,43,54
24,31,59,84
43,13,66,55
5,21,60,49
49,41,34,64
1,22,50,6
74,0,64,92
35,11,67,79
6,45,66,62
50,4,28,97
80,43,67,49
78,38,48,66
39,37,51,25
42,13,61,39
63,19,44,2
19,27,44,102
14,24,68,36
84,5,37,37
52,37,37,48
81,26,42,102
49,38,53,102
11,33,61,32
11,7,35,30
19,21,47,11
76,20,32,110
55,12,41,55
11,25,26,110
51,6,36,41
75,35,40,96
9,20,23,43
35,30,42,8
68,26,23,110
81,32,29,68
78,13,23,15
47,15,50,68
70,14,49,92
89,0,51,40
67,30,31,36
80,18,62,80
3,6,48,88
20,40,45,86
7,17,57,99
11,44,25,70
41,27,35,55
35,2,65,91
68,3,25,48
48,13,61,91
62,1,26,77
46,6,26,65
84,23,30,8
85,39,43,38
30,22,29,39
80,13,64,76
14,5,48,64
12,19,31,12
85,42,28,72
4,25,59,53
37,24,67,22
45,13,68,105
24,8,60,101
73,34,30,34
80,8,48,37
63,42,35,46
3,20,46,108
27,4,58,50
32,22,33,44
46,40,28,91
40,29,61,77
11,16,28,42
51,4,66,19
38,29,30,108
55,24,52,102
87,8,48,43
16,39,61,43
76,42,36,27
69,14,62,106
30,43,66,85
38,44,25,7
4,23,47,14
27,10,22,30
73,42,42,0
4,20,22,75
34,3,40,54
7,26,52,50
19,1,43,7
7,45,25,34
83,22,70,7
14,23,40,66
8,23,37,62
78,19,52,108
70,6,64,72
42,37,49,72
46,14,20,32
65,16,67,90
54,30,25,21
38,24,53,60
14,41,38,47
88,24,60,43
36,28,66,57
76,26,54,41
69,36,56,11
9,39,38,103
83,37,42,1
45,24,59,59
69,0,21,40
42,25,47,91
24,21,62,7
38,45,51,29
2,43,52,30
10,39,53,40
46,29,38,29
4,10,42,45
74,23,28,78
77,1,43,54
41,19,57,101
34,38,51,65
16,15,62,16
86,5,59,101
23,45,50,106
7,28,30,60
52,44,25,44
69,27,51,98
38,19,30,23
33,44,40,14
33,42,26,60
39,19,52,46
36,17,43,88
63,36,48,105
63,6,53,110
67,8,24,82
68,31,50,30
61,31,62,71
41,44,42,107
44,36,38,25
83,6,32,65
19,33,49,30
65,9,23,85
35,12,36,45
62,15,38,103
7,7,39,99
1,10,67,80
49,4,50,27
53,18,44,71
69,9,58,14
22,32,53,64
40,25,70,30
20,10,26,94
25,41,54,72
9,42,35,2
30,28,32,63
8,40,51,20
54,28,30,94
72,16,37,0
50,39,27,56
23,18,54,77
61,20,67,33
53,43,64,17
85,43,38,61
9,10,65,5
75,24,51,70
17,43,61,85
7,11,63,65
42,43,50,0
75,41,57,64
67,3,40,18
32,13,44,26
7,42,33,101
73,20,41,60
36,45,57,68
3,5,51,29
43,17,22,15
24,45,67,63
40,40,57,34
61,24,21,45
74,3,46,55
62,17,59,67
40,8,57,86
71,2,58,8
4,37,68,59
23,14,48,74
77,9,50,16
83,0,67,96
89,38,39,102
67,11,50,14
18,4,46,95
38,20,67,58
6,39,23,109
16,5,55,98
16,8,61,59
80,31,69,34
22,4,59,24
88,10,69,99
11,31,68,28
52,12,63,8
73,38,49,57
26,11,53,35
70,41,46,67
14,32,45,45
2,25,52,73
52,17,62,47
62,37,64,67
84,38,29,70
30,2,35,38
52,33,67,110
34,13,64,19
18,15,40,49
55,27,21,13
19,3,48,63
50,4,68,41
15,22,23,80
65,27,56,65
63,35,70,60
43,43,39,62
65,20,30,34
24,32,59,87
84,24,44,32
22,38,35,86
47,1,68,79
5,6,58,8
59,42,61,29
1,34,54,80
49,19,44,78
12,29,30,57
58,40,55,53
78,10,64,16
68,3,58,66
10,8,43,11
81,39,22,76
83,14,66,57
60,25,22,9
67,27,65,69
37,12,35,90
15,20,46,45
6,19,37,107
84,27,54,75
68,27,64,38
58,22,40,21
14,38,33,71
51,19,22,69
45,23,24,25
23,10,37,10
57,27,38,47
56,15,60,76
12,3,26,89
12,32,27,40
42,7,70,108
25,17,50,27
57,13,67,94
22,38,31,3
81,11,32,71
14,44,51,91
60,6,58,103
55,9,54,54
66,10,33,10
24,36,61,71
82,30,25,11
49,7,60,37
37,12,26,57
81,44,62,84
78,9,44,100
47,42,63,62
76,7,66,44
16,8,61,92
88,38,46,6
82,40,68,22
53,18,63,108
85,16,60,67
54,1,55,34
83,12,48,13
86,3,42,67
15,2,41,79
67,18,57,109
71,36,33,70
76,20,31,68
49,29,66,56
73,22,34,21
38,44,38,38
6,7,44,99
15,44,63,75
58,38,33,5
80,37,52,20
7,2,60,10
15,21,31,84
79,21,32,28
68,42,68,39
58,12,58,47
11,25,67,46
87,11,46,15
3,20,34,47
33,11,52,14
62,27,68,109
46,41,20,108
71,43,29,92
30,1,53,68
89,44,67,106
89,37,33,18
49,13,32,83
79,14,24,65
1,17,53,63
76,20,41,7
6,15,39,51
35,42,55,47
88,22,54,14
66,14,49,25
75,19,68,63
30,11,24,36
87,38,52,104
86,34,29,32
6,37,58,85
82,5,24,106
57,42,32,1
58,17,27,23
85,37,28,96
83,40,20,54
25,40,69,76
61,38,49,74
76,34,58,66
45,25,29,69
59,8,43,81
52,34,53,58
54,20,39,57
11,1,25,6
90,17,32,28
2,19,68,92
8,9,59,26
22,0,59,72
48,1,39,55
17,2,42,97
47,44,42,26
59,32,59,104
4,20,67,55
9,0,27,11
43,27,36,55
37,22,39,22
46,32,38,17
71,11,30,68
26,44,70,88
20,14,46,51
17,8,57,106
16,16,25,20
80,33,21,46
52,27,31,109
16,30,64,77
83,33,38,6
2,44,60,37
34,7,57,102
49,10,64,29
72,9,59,49
17,16,61,101
3,5,46,22
65,42,61,8
40,22,20,82
67,11,46,33
11,4,46,78
81,29,58,33
76,34,34,104
74,38,59,44
19,28,41,10
50,17,31,9
70,9,28,37
59,23,35,61
79,8,43,78
28,38,51,18
66,40,52,72
22,42,55,40
49,18,44,34
37,1,41,22
16,33,68,28
10,26,32,107
18,36,22,57
37,18,52,101
35,34,43,37
79,12,70,98
34,2,21,61
74,45,36,87
38,44,61,22
29,45,58,19
85,21,25,78
46,23,52,54
73,39,33,93
69,15,44,47
82,22,30,77
42,18,69,72
90,36,31,90
16,19,25,101
67,6,30,109
19,39,47,41
16,9,40,39
38,15,49,86
80,1,70,103
71,25,30,106
84,44,42,49
90,2,68,84
84,2,59,106
55,19,52,28
30,45,44,36
9,19,63,61
16,45,60,35
1,9,65,59
8,44,35,8
82,3,44,10
13,33,46,31
18,41,31,75
39,0,51,18
16,24,63,106
13,0,40,93
47,18,47,19
60,26,29,47
17,26,43,71
3,38,69,11
5,41,56,72
34,3,35,85
29,11,51,41
33,19,26,47
62,9,58,18
21,37,54,90
61,34,51,53
82,6,36,33
83,6,22,1
7,30,43,87
42,7,26,26
69,30,51,55
32,23,41,77
61,30,63,51
58,11,40,26
4,3,58,83
31,16,27,35
75,26,36,8
54,18,42,108
69,37,23,75
15,12,46,57
29,16,62,52
28,1,26,7
8,25,24,82
51,1,45,67
75,39,59,0
44,13,42,105
80,12,27,110
30,36,34,72
55,21,27,4
30,16,55,104
25,29,61,9
60,8,65,77
42,9,30,9
55,37,57,36
64,21,64,93
48,22,45,92
49,24,37,107
42,28,32,30
54,45,47,44
65,29,45,75
4,42,50,26
78,32,36,39
66,2,64,11
60,43,66,46
16,10,46,95
35,9,25,99
50,4,66,48
86,35,23,81
34,39,58,90
51,11,64,54
86,11,30,84
44,11,41,101
32,9,65,12
73,24,43,10
34,32,39,45
63,25,21,70
17,25,39,11
77,39,56,24
70,16,62,31
79,42,20,18
27,28,20,70
22,45,22,10
62,32,33,59
21,14,58,92
76,31,53,10
54,12,55,4
59,9,38,57
83,15,57,106
88,21,36,68
54,17,42,34
9,26,20,13
12,11,28,95
84,33,25,76
52,32,29,10
70,27,53,104
90,24,63,16
8,2,30,57
5,31,27,40
89,32,54,17
75,17,56,5
89,4,28,78
1,27,67,88
90,31,33,56
6,35,65,5
36,0,69,103
54,21,42,10
76,34,65,50
22,41,58,74
19,9,28,106
2,17,40,40
39,42,24,101
32,41,40,59
36,24,48,43
15,11,40,39
9,8,58,77
20,4,60,0
6,14,58,31
74,9,44,104
89,12,68,71
48,43,22,74
17,19,67,40
44,21,67,17
65,42,35,106
35,20,49,82
72,30,65,107
45,7,48,13
88,2,33,81
76,2,52,20
53,28,29,57
52,40,65,72
73,29,56,101
12,17,41,62
15,21,22,78
44,39,21,28
81,0,58,38
1,41,41,64
75,20,53,54
52,22,36,47
79,17,26,33
42,41,58,89
74,2,22,45
72,37,32,65
20,17,34,18
12,25,31,59
56,27,66,84
84,22,64,62
26,43,57,20
80,45,56,94
86,11,32,61
53,34,55,90
63,35,38,97
29,0,42,58
70,19,32,70
40,33,30,59
90,17,68,16
5,23,33,108
26,36,33,91
77,21,55,50
15,45,33,93
13,10,66,43
84,16,37,59
23,45,43,49
58,22,23,110
82,5,49,25
32,28,23,56
61,28,56,65
47,29,46,12
35,23,70,40
22,2,44,64
90,33,35,46
48,6,23,96
52,4,48,67
34,6,20,93
89,10,67,9
2,7,43,35
45,18,62,81
30,4,34,11
40,9,49,56
34,14,68,33
14,13,47,91
88,4,48,101
10,10,61,20
65,35,41,16
45,41,29,101
56,14,68,66
40,13,52,60
42,13,70,101
55,12,39,42
76,12,57,63
56,17,67,89
47,26,36,47
33,42,54,104
49,41,67,65
84,2,45,49
75,28,24,43
56,45,37,12
1,25,43,48
33,13,45,98
45,40,36,11
31,12,64,105
3,28,30,64
13,4,64,37
2,45,36,107
71,23,42,105
17,6,22,92
9,41,28,81
2,11,38,83
56,28,53,9
10,9,44,78
12,2,57,100
21,14,30,0
23,22,63,93
38,6,25,33
44,45,21,80
59,22,52,81
40,15,69,34
62,28,32,51
35,20,69,56
41,9,30,0
29,16,54,6
61,45,45,78
20,12,50,94
57,11,35,107
90,1,37,88
87,43,45,25
58,17,46,37
3,16,70,89
81,19,61,40
26,20,58,76
57,3,22,57
85,1,47,25
72,31,56,100
83,8,61,52
34,15,45,77
16,44,30,64
75,12,30,99
50,10,50,103
90,16,25,51
84,39,25,64
45,9,65,60
69,9,23,41
59,17,37,7
25,17,29,25
34,16,53,63
9,29,56,2
83,24,39,93
31,2,44,72
84,5,33,5
10,4,57,44
50,0,41,23
62,42,36,102
26,41,46,13
68,21,31,27
30,35,36,13
1,36,46,107
29,25,56,46
65,23,40,79
8,31,63,17
57,27,46,79
28,42,20,18
14,14,23,81
62,1,21,38
71,30,42,51
89,13,27,85
79,2,24,9
87,32,45,91
31,15,66,27
67,20,52,72
24,44,28,38
79,26,46,22
61,45,47,60
47,31,53,21
62,9,58,61
7,9,31,105
23,8,32,0
78,9,53,99
33,18,65,16
50,44,24,71
81,23,63,45
16,27,44,26
28,41,56,94
56,2,21,52
74,20,41,37
70,15,36,38
16,10,38,26
16,31,49,79
1,23,59,106
56,31,36,99
42,35,39,108
87,33,45,110
58,6,43,91
59,30,56,38
77,39,28,73
37,12,27,74
84,35,44,26
38,26,64,56
66,15,70,61
36,19,21,3
3,34,59,92
24,41,68,43
47,20,53,64
34,43,25,87
79,25,63,22
66,32,30,21
36,31,38,33
36,14,52,103
40,3,69,33
78,30,57,41
60,39,46,67
79,20,66,22
6,1,51,61
9,32,55,10
75,30,62,35
74,11,58,102
55,42,51,56
40,14,64,80
48,5,28,65
77,40,35,68
71,26,50,28
49,12,24,39
55,7,60,25
66,14,41,94
16,13,53,79
77,24,69,49
15,40,49,6
54,12,46,67
58,3,22,1
88,16,44,17
76,7,25,51
66,43,60,75
6,0,20,95
68,28,32,106
31,20,62,26
18,42,58,95
80,31,25,107
19,2,39,99
67,19,64,32
87,13,29,19
40,43,24,19
33,19,26,103
82,36,36,26
41,13,21,95
16,12,52,45
78,13,60,51
45,7,63,7
61,33,61,84
49,14,47,16
57,0,52,96
66,29,20,97
22,23,23,77
88,13,44,39
41,12,49,65
83,3,24,83
61,8,45,0
61,1,70,18
9,44,26,50
17,44,55,63
14,7,60,10
84,21,66,3
32,9,51,37
3,33,41,98
75,2,61,88
29,26,24,52
31,25,26,55
30,23,51,8
15,45,43,51
2,15,44,4
51,16,42,7
51,21,46,77
85,30,48,101
44,28,47,64
5,40,35,36
10,18,28,74
10,10,41,40
49,1,69,98
69,27,31,106
6,9,64,88
72,40,67,99
23,41,23,61
36,30,31,93
51,0,48,83
28,33,69,70
59,24,50,39
20,28,65,94
36,2,56,34
80,17,20,17
1,32,25,85
4,37,30,100
4,24,56,89
79,42,32,24
79,10,24,99
51,44,69,41
61,44,30,83
5,11,65,8
35,19,36,30
33,10,53,49
2,37,70,103
25,37,66,77
81,42,38,63
61,5,35,108
40,43,64,10
35,29,58,105
63,39,22,85
70,18,61,97
23,9,53,57
24,14,24,98
43,13,34,4
51,16,39,73
4,39,60,33
37,18,63,56
79,24,60,84
69,45,36,94
24,36,67,61
5,4,25,33
65,22,29,32
16,9,28,76
2,20,24,47
34,34,42,102
9,1,44,41
85,16,36,73
82,11,63,37
39,23,23,64
19,39,23,57
72,13,37,100
11,11,70,59
19,32,70,68
13,12,22,66
11,17,47,63
29,45,65,93
68,2,70,27
89,6,70,0
65,39,20,79
61,3,43,69
21,0,69,24
56,34,22,98
48,33,26,57
35,11,41,86
79,42,22,8
29,37,47,80
50,16,49,85
71,27,26,34
26,4,41,60
66,13,34,65
90,29,70,48
21,37,63,79
85,31,31,92
43,0,26,88
59,19,64,95
6,2,27,87
28,41,65,66
56,33,45,105
58,27,61,11
36,21,59,40
69,1,22,6
53,5,62,93
15,9,53,50
78,9,24,78
53,30,41,0
89,28,22,27
80,14,35,79
90,40,62,11
54,18,54,5
32,22,40,105
29,10,68,16
49,15,53,85
88,23,36,20
20,30,45,102
2,7,26,28
42,2,41,62
21,37,25,38
35,20,43,3
3,7,34,78
80,28,66,43
89,28,27,103
89,13,28,58
1,36,50,89
64,25,56,76
20,41,56,61
61,2,33,6
66,43,51,18
26,39,30,93
29,36,52,77
50,26,69,57
48,24,33,93
26,4,31,51
49,40,53,108
68,24,25,43
49,20,68,93
72,5,62,62
2,1,64,97
70,17,56,10
4,6,26,54
59,23,65,50
17,42,46,98
4,41,47,15
12,45,59,64
2,39,64,72
23,33,45,49
57,12,25,0
36,18,66,52
25,18,66,21
51,16,31,69
38,2,55,12
90,25,28,54
24,37,44,76
29,22,37,106
20,0,40,109
24,45,59,93
88,41,37,67
48,10,70,20
25,9,41,76
17,25,52,107
59,26,27,1
89,7,52,67
58,10,67,97
41,20,30,2
68,8,50,6
9,19,67,57
76,26,29,91
49,30,67,96
38,5,21,37
3,15,58,54
41,36,50,97
20,6,46,82
70,23,53,20
26,0,58,61
62,28,60,41
50,1,51,45
72,13,69,83
9,32,61,76
88,12,43,42
60,35,64,78
80,1,65,50
44,14,50,56
1,29,70,3
43,20,36,59
76,42,30,17
8,26,64,19
38,45,30,72
19,38,60,108
87,4,22,72
5,25,48,73
18,44,31,100
45,4,44,22
16,13,45,57
82,0,23,62
22,13,25,68
66,2,58,76
65,30,21,85
31,37,25,30
5,15,59,12
80,10,38,47
38,39,26,17
26,9,23,41
66,17,30,101
75,28,22,11
79,29,70,15
10,23,55,13
18,26,50,10
5,10,63,84
13,22,29,88
81,31,55,61
12,25,46,102
53,11,44,30
68,38,41,99
73,5,56,65
29,35,63,106
82,1,46,71
51,20,70,4
59,21,41,68
